,artist,date,venue,city,year,setlist,venue_alt,city_alt,tour_name,start,end,url,venue_capacity,avg_price,country
1926,The Rolling Stones,2014-11-01,Perth Arena,Perth,2014,"[""Jumpin' Jack Flash"", 'You Got Me Rocking', ""It's Only Rock 'n' Roll (but I Like It)"", 'Tumbling Dice', 'Loving Cup', 'Doom and Gloom', 'All Down the Line', 'Out of Control', 'Honky Tonk Women', 'Before They Make Me Run', 'Happy', 'Midnight Rambler', 'Miss You', 'Gimme Shelter', 'Start Me Up', 'Sympathy for the Devil', 'Brown Sugar', ""You Can't Always Get What You Want"", ""(I Can't Get No) Satisfaction""]",Perth Arena,"Perth, Australia",14 on Fire,8:30 PM,10:35 PM,https://www.setlist.fm/setlist/the-rolling-stones/2014/perth-arena-perth-australia-13cc1d2d.html,15000.0,150.0,Australia
1927,The Rolling Stones,2014-11-05,Rod Laver Arena,Melbourne,2014,"[""Jumpin' Jack Flash"", 'You Got Me Rocking', ""It's Only Rock 'n' Roll (but I Like It)"", 'Tumbling Dice', 'Wild Horses', 'Doom and Gloom', 'Street Fighting Man', 'Out of Control', 'Honky Tonk Women', 'Before They Make Me Run', 'Happy', 'Midnight Rambler', 'Miss You', 'Gimme Shelter', 'Start Me Up', 'Sympathy for the Devil', 'Brown Sugar', ""You Can't Always Get What You Want"", ""(I Can't Get No) Satisfaction""]",Rod Laver Arena,"Melbourne, Australia",14 on Fire,8:30 PM,10:35 PM,https://www.setlist.fm/setlist/the-rolling-stones/2014/rod-laver-arena-melbourne-australia-13cc0935.html,14820.0,150.0,Australia
1928,The Rolling Stones,2014-11-12,Allphones Arena,Sydney,2014,"[""Jumpin' Jack Flash"", ""It's Only Rock 'n' Roll (but I Like It)"", 'Respectable', 'Tumbling Dice', 'Sweet Virginia', 'Bitch', 'Paint It Black', 'Honky Tonk Women', 'You Got the Silver', 'Before They Make Me Run', 'Happy', 'Midnight Rambler', 'Miss You', 'Gimme Shelter', 'Start Me Up', 'Sympathy for the Devil', 'Brown Sugar', ""You Can't Always Get What You Want"", ""(I Can't Get No) Satisfaction""]",Allphones Arena,"Sydney, Australia",14 on Fire,8:30 PM,10:30 PM,https://www.setlist.fm/setlist/the-rolling-stones/2014/allphones-arena-sydney-australia-3bcc6098.html,21000.0,150.0,Australia
1929,The Rolling Stones,2014-11-15,Hope Estate Winery,Hunter Valley,2014,"[""Jumpin' Jack Flash"", ""Let's Spend the Night Together"", ""It's Only Rock 'n' Roll (but I Like It)"", 'Tumbling Dice', 'Dead Flowers', 'Rocks Off', 'Paint It Black', 'Honky Tonk Women', 'You Got the Silver', 'Before They Make Me Run', ""Can't Be Seen"", 'Midnight Rambler', 'Miss You', 'Gimme Shelter', 'Start Me Up', 'Sympathy for the Devil', 'Brown Sugar', ""You Can't Always Get What You Want"", ""(I Can't Get No) Satisfaction""]",Hope Estate Winery,"Pokolbin, Australia",14 on Fire,8:00 PM,10:05 PM,https://www.setlist.fm/setlist/the-rolling-stones/2014/hope-estate-winery-pokolbin-australia-1bcc4d68.html,20000.0,150.0,Australia
1930,The Rolling Stones,2014-11-18,Entertainment Centre,Brisbane,2014,"[""Jumpin' Jack Flash"", ""It's Only Rock 'n' Roll (but I Like It)"", 'You Got Me Rocking', 'Tumbling Dice', 'Silver Train', 'Bitch', 'Paint It Black', 'Honky Tonk Women', 'You Got the Silver', 'Before They Make Me Run', 'Happy', 'Midnight Rambler', 'Miss You', 'Gimme Shelter', 'Start Me Up', 'Sympathy for the Devil', 'Brown Sugar', ""You Can't Always Get What You Want"", ""(I Can't Get No) Satisfaction""]",Brisbane Entertainment Centre,"Brisbane, Australia",14 on Fire,8:30 PM,10:40 PM,https://www.setlist.fm/setlist/the-rolling-stones/2014/brisbane-entertainment-centre-brisbane-australia-53cdbfa1.html,13500.0,150.0,Australia
1931,The Rolling Stones,2014-11-22,Mount Smart Stadium,Auckland,2014,"['Start Me Up', ""It's Only Rock 'n' Roll (but I Like It)"", 'You Got Me Rocking', 'Tumbling Dice', 'Like a Rolling Stone', 'Doom and Gloom', 'Out of Control', 'Honky Tonk Women', 'You Got the Silver', 'Before They Make Me Run', 'Happy', 'Midnight Rambler', 'Miss You', 'Gimme Shelter', ""Jumpin' Jack Flash"", 'Sympathy for the Devil', 'Brown Sugar', ""You Can't Always Get What You Want"", ""(I Can't Get No) Satisfaction""]",Mount Smart Stadium,"Auckland, New Zealand",14 on Fire,8:35 PM,10:45 PM,https://www.setlist.fm/setlist/the-rolling-stones/2014/mount-smart-stadium-auckland-new-zealand-13cd9df5.html,47000.0,150.0,New Zealand / Aotearoa
1932,The Rolling Stones,2015-05-20,Fonda Theatre,Los Angeles,2015,"['Start Me Up', 'When the Whip Comes Down', 'All Down the Line', 'Sway', 'Dead Flowers', 'Wild Horses', 'Sister Morphine', 'You Gotta Move', 'Bitch', ""Can't You Hear Me Knocking"", 'I Got the Blues', 'Moonlight Mile', 'Brown Sugar', 'Rock Me Baby', ""Jumpin' Jack Flash"", ""I Can't Turn You Loose""]",The Fonda Theatre,"Los Angeles, CA, USA",,8:45 PM,10:15 PM,https://www.setlist.fm/setlist/the-rolling-stones/2015/the-fonda-theatre-los-angeles-ca-13c85599.html,1200.0,150.0,United States
1933,The Rolling Stones,2015-05-24,Petco Park,San Diego,2015,"[""Jumpin' Jack Flash"", ""It's Only Rock 'n' Roll (but I Like It)"", 'All Down the Line', 'Tumbling Dice', 'Doom and Gloom', 'Bitch', 'Moonlight Mile', ""Can't You Hear Me Knocking"", 'Street Fighting Man', 'Honky Tonk Women', 'Slipping Away', 'Before They Make Me Run', 'Midnight Rambler', 'Miss You', 'Gimme Shelter', 'Start Me Up', 'Sympathy for the Devil', 'Brown Sugar', ""You Can't Always Get What You Want"", ""(I Can't Get No) Satisfaction""]",Petco Park,"San Diego, CA, USA",Zip Code,9:30 PM,11:50 PM,https://www.setlist.fm/setlist/the-rolling-stones/2015/petco-park-san-diego-ca-23c8405f.html,40000.0,150.0,United States
1934,The Rolling Stones,2015-05-27,Belly Up Tavern,Solana Beach,2015,"['Start Me Up', ""It's Only Rock 'n' Roll (but I Like It)"", 'You Got Me Rocking', 'Tumbling Dice', 'When the Whip Comes Down', 'I Got the Blues', 'Crazy Mama', 'Paint It Black', 'Midnight Rambler', 'Miss You', 'Honky Tonk Women', 'Sympathy for the Devil', ""Jumpin' Jack Flash"", 'Brown Sugar', ""(I Can't Get No) Satisfaction""]",Belly Up Tavern,"Solana Beach, CA, USA",,9:10 PM,10:45 PM,https://www.setlist.fm/setlist/the-rolling-stones/2015/belly-up-tavern-solana-beach-ca-7bc99e20.html,600.0,150.0,United States
1935,The Rolling Stones,2015-05-30,Ohio Stadium,Columbus,2015,"[""Jumpin' Jack Flash"", ""It's Only Rock 'n' Roll (but I Like It)"", ""Let's Spend the Night Together"", 'Tumbling Dice', 'Doom and Gloom', 'Bitch', 'Wild Horses', 'Paint It Black', 'Honky Tonk Women', 'Before They Make Me Run', 'Happy', 'Midnight Rambler', 'Miss You', 'Gimme Shelter', 'Start Me Up', 'Sympathy for the Devil', 'Brown Sugar', ""You Can't Always Get What You Want"", ""(I Can't Get No) Satisfaction""]",Ohio Stadium,"Columbus, OH, USA",Zip Code,9:30 PM,11:40 PM,https://www.setlist.fm/setlist/the-rolling-stones/2015/ohio-stadium-columbus-oh-3c9995b.html,104944.0,150.0,United States
1936,The Rolling Stones,2015-06-03,TCF Bank Stadium,Minneapolis,2015,"[""Jumpin' Jack Flash"", ""It's Only Rock 'n' Roll (but I Like It)"", 'All Down the Line', 'Tumbling Dice', 'Doom and Gloom', 'Bitch', 'Moonlight Mile', 'Out of Control', 'Honky Tonk Women', 'Before They Make Me Run', 'Happy', 'Midnight Rambler', 'Miss You', 'Gimme Shelter', 'Start Me Up', 'Sympathy for the Devil', 'Brown Sugar', ""You Can't Always Get What You Want"", ""(I Can't Get No) Satisfaction""]",TCF Bank Stadium,"Minneapolis, MN, USA",Zip Code,9:15 PM,11:25 PM,https://www.setlist.fm/setlist/the-rolling-stones/2015/tcf-bank-stadium-minneapolis-mn-33c98045.html,50000.0,150.0,United States
1937,The Rolling Stones,2015-06-06,AT & T Stadium,Arlington,2015,"[""Jumpin' Jack Flash"", ""It's Only Rock 'n' Roll (but I Like It)"", ""Let's Spend the Night Together"", 'Tumbling Dice', 'Doom and Gloom', 'Bitch', 'Moonlight Mile', 'Rocks Off', 'Honky Tonk Women', 'Before They Make Me Run', 'Happy', 'Midnight Rambler', 'Miss You', 'Gimme Shelter', 'Start Me Up', 'Sympathy for the Devil', 'Brown Sugar', ""You Can't Always Get What You Want"", ""(I Can't Get No) Satisfaction""]",AT&T Stadium,"Arlington, TX, USA",Zip Code,9:30 PM,11:40 PM,https://www.setlist.fm/setlist/the-rolling-stones/2015/atandt-stadium-arlington-tx-33c9ecd5.html,80000.0,150.0,United States
1938,The Rolling Stones,2015-06-09,Bobby Dodd Stadium,Atlanta,2015,"['Start Me Up', ""It's Only Rock 'n' Roll (but I Like It)"", 'All Down the Line', 'Tumbling Dice', 'Doom and Gloom', ""Can't You Hear Me Knocking"", 'You Gotta Move', 'Some Girls', 'Honky Tonk Women', 'Before They Make Me Run', 'Happy', 'Midnight Rambler', 'Miss You', 'Gimme Shelter', ""Jumpin' Jack Flash"", 'Sympathy for the Devil', 'Brown Sugar', ""You Can't Always Get What You Want"", ""(I Can't Get No) Satisfaction""]",Bobby Dodd Stadium,"Atlanta, GA, USA",Zip Code,9:30 PM,11:35 PM,https://www.setlist.fm/setlist/the-rolling-stones/2015/bobby-dodd-stadium-atlanta-ga-7bc9da10.html,55000.0,150.0,United States
